以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 13:48:35.36 ID:xz/r8ac30<> ヒグチ <br> ２１歳 大学四年 <br> 就職決まるも留年が決まってる <br>  <br> 埼玉から屋久島まで自転車で旅をしています。 <br>  <br> 今は鹿児島県の鹿児島にいます。 <br>  <br> 大阪で病に倒れ、その後は避難所でやっておりました。色々心配をお掛け致しまして申し訳ありませんでした。 <br>  <br> というわけで、応援してくれよなw <br> 誰でもうぇるかもw <>埼玉から屋久島まで自転車で旅してくる　鹿児島篇
愛のかぁびぃ </b>◆Kirby..wFo <b><><>2008/08/24(日) 13:49:53.62 ID:+toRHMBz0 BE:584380883-PLT(24745)<> チクビ <br>  <br> に見えた <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 13:51:58.81 ID:vEUKakan0<> 落ちてんじゃねーかｗｗｗｗ <br>  <br> 保守入れるわｗ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 13:52:53.52 ID:4PRHchRDO<> 鹿児島のどこ？ <br> いつ屋久島にいくの？ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 13:53:00.40 ID:xz/r8ac30<> 3日落ちだよ <>
以下、名無しにかわりましてVIPがお送りします<>焼肉王子<>2008/08/24(日) 19:48:52.07 ID:qh7j4aNg0<> ⊂（＾肉＾）⊃ｾﾌｾﾌ!!  <br>  <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 19:54:46.46 ID:QYs5Oe9B0<> ｱﾎﾞﾊﾞｰ＼(＾o＾)／ <>
以下、名無しにかわりましてVIPがお送りします<>焼肉王子<>2008/08/24(日) 20:03:57.76 ID:qh7j4aNg0<> ⊂（＾肉＾）⊃ｾﾌｾﾌ!!  <br>  <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 20:06:24.07 ID:n65Mfww1O<> かんぱ～いｗ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 20:07:27.23 ID:3jBn5IXP0<> <a href="../test/read.cgi/news4vip/1219553315/55" target="_blank">&gt;&gt;55</a> <br> くっそうｗ <br> 明日休みだったら居残ったのにｗｗｗ <>
ヒグチ </b>◆gqzg/l1Wys <b><>sage<>2008/08/24(日) 20:08:52.52 ID:06Nz8AsGO<> http://imepita.jp/20080824/719880 <br>  <br> うめぇｗｗｗ <>
以下、名無しにかわりましてVIPがお送りします<>sage<>2008/08/24(日) 20:12:12.98 ID:oAKzKU440<> <a href="../test/read.cgi/news4vip/1219553315/57" target="_blank">&gt;&gt;57</a>ちょｗ <br> 焼肉豪勢だなｗｗ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 20:13:04.51 ID:3jBn5IXP0<> <a href="../test/read.cgi/news4vip/1219553315/57" target="_blank">&gt;&gt;57</a> <br> 芋焼酎逝けｗｗｗ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 20:17:01.85 ID:QYs5Oe9B0<> ｱﾎﾞﾊﾞｰ＼(＾o＾)／ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 20:17:48.92 ID:QYs5Oe9B0<> <a href="../test/read.cgi/news4vip/1219553315/57" target="_blank">&gt;&gt;57</a> <br> 鹿蛇に感謝だなｗ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 20:23:57.39 ID:+1ZvIYBL0<> &gt;&gt;鹿蛇ＧＪｗ <>
ひぐち </b>◆gqzg/l1Wys <b><><>2008/08/24(日) 20:27:05.62 ID:06Nz8AsGO<> 黒豚うますぎるｗｗｗ <br>  <br> 最高ｗｗｗｗ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 20:27:33.13 ID:IfKWop+o0<> 焼肉とかｗｗｗ屋久杉まで歩いて6時間あるらしいからね。 <br> そのためのスタミナをつけろｗｗ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 20:28:46.55 ID:3jBn5IXP0<> 屋久島行ったら行ったで三岳呑めるんだろー <br> いーなーいーなーｗ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 20:29:28.08 ID:QYs5Oe9B0<> なんかムカつくなｗ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 20:30:25.61 ID:xurXANoH0<> <a href="../test/read.cgi/news4vip/1219553315/65" target="_blank">&gt;&gt;65</a>　あの宿に予約入れたのか？ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 20:31:23.40 ID:3jBn5IXP0<> 今日はヒグチは旅人であり見送りでもあるという稀有な経験をしてるからなｗ <br> 最後の九州本土、ゆっくりしていってね！ <br>  <br> <a href="../test/read.cgi/news4vip/1219553315/67" target="_blank">&gt;&gt;67</a> <br> そんな話がチラっと出ただけ。 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 20:37:53.92 ID:+1ZvIYBL0<> 黒豚うｐ <>
以下、名無しにかわりましてVIPがお送りします<>****<>2008/08/24(日) 20:43:13.49 ID:vEUKakan0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<>焼肉王子<>2008/08/24(日) 20:49:14.87 ID:qh7j4aNg0<> ⊂（＾肉＾）⊃ｾﾌｾﾌ!!  <br>  <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 20:50:54.40 ID:n65Mfww1O<> http://imepita.jp/20080824/749320 <br>  <br> 彼女のスイーツ(笑) <>
ひぐち </b>◆gqzg/l1Wys <b><><>2008/08/24(日) 20:51:17.06 ID:06Nz8AsGO<> http://imepita.jp/20080824/746490 <br>  <br> 大好きサラダバーのフルーツ <br> 黒豚食っちゃったｗｗｗ <br>  <br> 宿はなにも決めてないんだｗｗｗ <>
以下、名無しにかわりましてVIPがお送りします<>****<>2008/08/24(日) 21:00:08.16 ID:vEUKakan0<> (｀・ω・´)全力で保守 <>
以下、名無しにかわりましてVIPがお送りします<>焼肉王子<>2008/08/24(日) 21:04:21.11 ID:qh7j4aNg0<> ⊂（＾肉＾）⊃ｾﾌｾﾌ!!  <br>  <>
以下、名無しにかわりましてVIPがお送りします<>sage<>2008/08/24(日) 21:06:30.53 ID:RXX6x1Bv0<> ヒグチ飲みすぎるなよぉー <br> サラダも食わないとメタボまっしぐらだぞー <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 21:10:31.82 ID:lV3ayimK0<> <a href="../test/read.cgi/news4vip/1219553315/73" target="_blank">&gt;&gt;73</a> <br> 鹿蛇の職場警備員では？ｗｗ <br>  <br> 屋久島ついたら宮之浦へぜひ逝ってくれｗｗｗ <>
以下、名無しにかわりましてVIPがお送りします<>焼肉王子<>2008/08/24(日) 21:19:27.28 ID:qh7j4aNg0<> ⊂（＾肉＾）⊃ｾﾌｾﾌ!!  <br>  <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 21:29:30.25 ID:vEUKakan0<> 保守 <>
鹿蛇<><>2008/08/24(日) 21:31:15.75 ID:hg9SG0e20<> 只今帰還ｗ <br> 帰省蛇はチャリで帰っていきましたｗ <br>  <br> ヒグチはシャワー中ｗ <>
以下、名無しにかわりましてVIPがお送りします<>****<>2008/08/24(日) 21:41:02.90 ID:vEUKakan0<> |ω・｀)ちらっと保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 21:46:03.91 ID:QYs5Oe9B0<> ｱﾎﾞﾊﾞｰ＼(＾o＾)／ <>
以下、名無しにかわりましてVIPがお送りします<>焼肉王子<>2008/08/24(日) 21:49:39.86 ID:qh7j4aNg0<> ⊂（＾肉＾）⊃ｾﾌｾﾌ!!  <br>  <>
以下、名無しにかわりましてVIPがお送りします<>sage<>2008/08/24(日) 21:53:00.06 ID:RXX6x1Bv0<> |ω・｀) <br> <a href="../test/read.cgi/news4vip/1219553315/80" target="_blank">&gt;&gt;80</a> ヒグチシャワー中・・・合体? <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 21:57:11.21 ID:QYs5Oe9B0<> ｱﾎﾞﾊﾞｰ＼(＾o＾)／ <>
ヒグチ </b>◆gqzg/l1Wys <b><>sage<>2008/08/24(日) 21:59:25.81 ID:u2MnrdWR0<> ただ今、職場警備員中ですｗｗｗ <br>  <br> 鹿蛇にはなんてお礼を言ったらいいのかわからない位良くして頂いて、 <br> 本当に嬉しいです。 <br>  <br> 合体はしてないからなｗｗｗｗｗ <br>  <br> 明日には屋久島に行くぞｗｗｗｗｗ <br> ではﾉｼ <br>  <br> ちなみにサラダも食ったおｗ <>
以下、名無しにかわりましてVIPがお送りします<>焼肉王子<>2008/08/24(日) 22:04:46.71 ID:qh7j4aNg0<> ⊂（＾肉＾）⊃ｾﾌｾﾌ!!  <br>  <>
以下、名無しにかわりましてVIPがお送りします<>sage<>2008/08/24(日) 22:07:26.71 ID:RXX6x1Bv0<> ヒグチー、シャワー後の合体残念 <br> 屋久島楽しみだおー <br> 写メいっぱい貼ってくれー <br> カメとか変わったモン喰ってたのしませてくれー <br> おやすみー <br>  <br> 鹿蛇おつーーーー <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 22:11:02.21 ID:KxTQ36AW0<> 帰省蛇帰宅しました。屋久島でゆっくりしていってね！！！ <br> あと鹿蛇さんありがとうございました。 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 22:16:08.99 ID:+IjoIDN0O<> 鹿児島の俺が今北三行広告 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 22:17:42.36 ID:vEUKakan0<> 職場に泊めて何人食ったのか… <br>  <br> 天一泊めればよかったのにｗｗｗｗｗ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 22:20:26.92 ID:bQvFye070<> <a href="../test/read.cgi/news4vip/1219553315/90" target="_blank">&gt;&gt;90</a> <br> 天一天二 <br> 鹿児島新港 <br> 本日18時発 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 22:21:58.40 ID:bQvFye070<> あ、ここヒグチスレだったorz <br>  <br> <a href="../test/read.cgi/news4vip/1219553315/90" target="_blank">&gt;&gt;90</a> <br> 埼玉から <br> 明日屋久島発 <br> 今夜は鹿児島泊 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 22:26:44.30 ID:+1ZvIYBL0<> <a href="../test/read.cgi/news4vip/1219553315/86" target="_blank">&gt;&gt;86</a> <br> そこは歴代の屋久島に渡る旅人最後の宿ｗｗｗ <>
以下、名無しにかわりましてVIPがお送りします<>sage<>2008/08/24(日) 22:27:35.44 ID:IfKWop+o0<> 明日ついにゴールかぁ～ <br> 天兄弟も一緒だｗ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 22:30:25.53 ID:hg9SG0e20<> <a href="../test/read.cgi/news4vip/1219553315/89" target="_blank">&gt;&gt;89</a> <br> 乙ｗ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 22:31:46.76 ID:bQvFye070<> <a href="../test/read.cgi/news4vip/1219553315/89" target="_blank">&gt;&gt;89</a> <br> 天チーム臨時4号の件ともども乙ｗ <>
以下、名無しにかわりましてVIPがお送りします<>焼肉王子<>2008/08/24(日) 22:34:59.66 ID:qh7j4aNg0<> ⊂（＾肉＾）⊃ｾﾌｾﾌ!!  <br>  <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 22:41:45.60 ID:QYs5Oe9B0<> ｱﾎﾞﾊﾞｰ＼(＾o＾)／ <>
以下、名無しにかわりましてVIPがお送りします<>****<>2008/08/24(日) 22:49:52.92 ID:vEUKakan0<> (ﾟдﾟ) <>
以下、名無しにかわりましてVIPがお送りします<>****<>2008/08/24(日) 22:59:18.59 ID:vEUKakan0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 23:04:06.20 ID:QYs5Oe9B0<> ｱﾎﾞﾊﾞｰ＼(＾o＾)／ <>
以下、名無しにかわりましてVIPがお送りします<>****<>2008/08/24(日) 23:13:07.18 ID:vEUKakan0<> |ω・｀)ちらっと保守 <>
以下、名無しにかわりましてVIPがお送りします<>****<>2008/08/24(日) 23:22:36.11 ID:vEUKakan0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<>焼肉王子<>2008/08/24(日) 23:25:41.65 ID:qh7j4aNg0<> ⊂（＾肉＾）⊃ｾﾌｾﾌ!!  <br>  <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 23:27:41.82 ID:hg9SG0e20<> ヒグチ～ <br> 明日は7時半に起こすからなｗ <br>  <br> じゃおやすみｗ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 23:32:28.82 ID:801jLSQ40<> <a href="../test/read.cgi/news4vip/1219553315/106" target="_blank">&gt;&gt;106</a> <br> 乙！ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 23:37:34.22 ID:QYs5Oe9B0<> ｱﾎﾞﾊﾞｰ＼(＾o＾)／ <>
以下、名無しにかわりましてVIPがお送りします<>****<>2008/08/24(日) 23:44:20.66 ID:vEUKakan0<> (｀・ω・´)全力で保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 23:48:14.74 ID:J/qGQcrmO<> 保守してやんよ＼(^o^)／ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 23:54:04.13 ID:801jLSQ40<> ほしゅ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 23:59:51.22 ID:QYs5Oe9B0<> ｱﾎﾞﾊﾞｰ＼(＾o＾)／ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 00:04:14.60 ID:dYgU73Ql0<> <a href="../test/read.cgi/news4vip/1219553315/106" target="_blank">&gt;&gt;106</a> <br> 大変お世話になって本当にありがとうございますなんだぜｗ <br>  <br>  <br>  <br> モーニングパピうｐ <>
以下、名無しにかわりましてVIPがお送りします<>****<>2008/08/25(月) 00:13:20.60 ID:phaOtrHG0<> (ﾟдﾟ) <>
以下、名無しにかわりましてVIPがお送りします<>焼肉王子<>2008/08/25(月) 00:14:16.92 ID:KYp8hC2c0<> ⊂（＾肉＾）⊃ｾﾌｾﾌ!!  <br>  <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 00:24:18.02 ID:phaOtrHG0<> (ﾟдﾟ) <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 00:33:17.24 ID:yL4tO0KG0<> ｱﾎﾞﾊﾞｰ＼(＾o＾)／ <>
以下、名無しにかわりましてVIPがお送りします<>焼肉王子<>2008/08/25(月) 00:38:33.34 ID:KYp8hC2c0<> ⊂（＾肉＾）⊃ｾﾌｾﾌ!!  <br>  <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 00:48:36.87 ID:phaOtrHG0<> |ω・｀)ちらっと保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 00:58:39.27 ID:phaOtrHG0<> (ﾟдﾟ) <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 01:08:42.02 ID:phaOtrHG0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 01:18:45.42 ID:phaOtrHG0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<>焼肉王子<>2008/08/25(月) 01:23:22.11 ID:KYp8hC2c0<> ⊂（＾肉＾）⊃ｾﾌｾﾌ!!  <br>  <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 01:33:25.65 ID:phaOtrHG0<> |ω・｀)ちらっと保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 01:40:13.15 ID:yL4tO0KG0<> ｱﾎﾞﾊﾞｰ＼(＾o＾)／ <>
以下、名無しにかわりましてVIPがお送りします<>sage<>2008/08/25(月) 01:45:39.37 ID:iVs1kOXX0<> 屋久島！屋久島！保守！保守！！保守！！！ <>
以下、名無しにかわりましてVIPがお送りします<>焼肉王子<>2008/08/25(月) 01:53:44.88 ID:KYp8hC2c0<> ⊂（＾肉＾）⊃ｾﾌｾﾌ!!  <br>  <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 02:03:47.43 ID:phaOtrHG0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 02:13:48.49 ID:yL4tO0KG0<> ｱﾎﾞﾊﾞｰ＼(＾o＾)／ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 02:23:50.85 ID:phaOtrHG0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 02:31:35.19 ID:uT9/sA7y0<> ＞宿決めてない <br>  <br> そして屋久杉の下で野宿する野生児ヒグチであった <br>  <br> もののけ姫になっちゃうぞｗ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 02:41:38.31 ID:phaOtrHG0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 02:53:11.08 ID:phaOtrHG0<> (ﾟдﾟ) <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 03:03:13.72 ID:phaOtrHG0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 03:13:16.03 ID:phaOtrHG0<> |ω・｀)ちらっと保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 03:23:18.61 ID:phaOtrHG0<> (ﾟдﾟ) <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 03:25:31.32 ID:8f05CgnjO<> 国道４号通った？ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 03:35:33.51 ID:phaOtrHG0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 03:45:54.16 ID:phaOtrHG0<> |ω・｀)ちらっと保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 03:55:56.81 ID:phaOtrHG0<> (ﾟдﾟ) <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 04:05:59.32 ID:phaOtrHG0<> (　ﾟдﾟ) <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 04:16:01.99 ID:phaOtrHG0<> (　ﾟдﾟ) <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 04:26:05.07 ID:phaOtrHG0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 04:36:08.17 ID:phaOtrHG0<> |ω・｀)ちらっと保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 04:46:10.90 ID:phaOtrHG0<> (　ﾟдﾟ) <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 04:56:12.49 ID:phaOtrHG0<> |ω・｀)ちらっと保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 05:06:14.96 ID:phaOtrHG0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 05:16:16.36 ID:phaOtrHG0<> |ω・｀)ちらっと保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/25(月) 05:20:51.82 ID:I+psSLtK0<> 埼玉なら泊めてあげてもよかったのに <>
