玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/26(日) 12:24:58.56 ID:bwzwHXw0<>【旅の概要】<br>期間：2010年9月12日～9月19日<br>ルート：東京～大阪～尾道～今治～徳島(フェリーで東京に帰還)<br><br>玉虫：男、大学生、今年3月にスノボで半月板を痛め手術<br>車種：ロードバイク(あずにゃん号)、08 Cannondale System6<br><br>【過去ログ・画像・動画集】<br>過去ログ：<br>dat版：ttp://www1.axfc.net/uploader/Sc/so/155091<br>html版：ttp://www1.axfc.net/uploader/Sc/so/155093<br><br>PASS:tamamusinyan<br>datなにそれ？な人はhtmlを落としてね！index.htmlで上から順になってるはずだから<br>※パー速のログは含みません <br><br>旅掲示板：※シロロさんありがとう！<br>ttp://tabi.shiroro.com/10/tamamushi/<br><br>画像集(＠ピカサ)：<br>ttp://picasaweb.google.co.jp/106482100541094568365/QsXwxG#<br><br>ニコニコ動画：<br>1.涼しくなったから自転車で旅行してみた～準備編～<br>ttp://www.nicovideo.jp/watch/sm12181037<br>2.涼しくなったから自転車で旅行してみた～1日目～<br>ttp://www.nicovideo.jp/watch/sm12190163<br>3.涼しくなったから自転車で旅行してみた～2日目～<br>ttp://www.nicovideo.jp/watch/sm12201381<br>4.涼しくなったから自転車で旅行してみた～3日目～<br>ttp://www.nicovideo.jp/watch/sm12225639<br><br>Youtube：※YoutubeはHD画質でうｐしてます！<br>1.涼しくなったから自転車で旅行してみた～準備編～<br>ttp://www.youtube.com/watch?v=lCbsWp7XfMg <br>2.涼しくなったから自転車で旅行してみた～1日目～<br>ttp://www.youtube.com/watch?v=ajeUHNgbNf0<br>3.涼しくなったから自転車で旅行してみた～2日目～<br>ttp://www.youtube.com/watch?v=WxdswkbTGJc<br>4.涼しくなったから自転車で旅行してみた～3日目～<br>ttp://www.youtube.com/watch?v=qanH0kUW8Fc <>【玉虫×あずにゃん】涼しくなったから自転車で旅行してみた【無事帰還】
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/09/27(月) 22:59:12.26 ID:kn.wu2AO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/09/28(火) 08:37:20.34 ID:7FYYcIAO<>おはよう<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/28(火) 11:04:18.05 ID:Uy0ooIUo<>挨拶の人おはよう！<br><br>てかアルテグラの電動でるんだね！！<br>電動でワイヤーを引きますとかじゃなかったらいいなww<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/28(火) 11:56:27.69 ID:Uy0ooIU0<>Wilierかっこいい・・・<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/28(火) 13:31:57.16 ID:Uy0ooIU0<>大学いってくる！！<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/09/28(火) 18:27:50.66 ID:gFte.mIo<>学校にも行ってるんだな<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/09/28(火) 20:48:45.19 ID:Bw/NLeso<>明日自転車で大学行ってみようか迷う<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/28(火) 21:17:05.28 ID:Uy0ooIU0<>&gt;&gt;17<br>もう卒業要件は満たしたので、その日の気分で大学行ってますｗｗ<br><br>&gt;&gt;18<br>ちゃんと駐輪できる場所があるなら、一度行ってみるのもアリかな！<br>自分は2年ほど雨の日以外は自転車で通ってますｗｗ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/09/28(火) 23:48:10.04 ID:fBFcje.o<>大学は自転車で行ってたな…<br>たかだか500mくらいだったけどｗｗｗｗｗｗｗｗ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/09/28(火) 23:52:34.85 ID:7FYYcIAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/09/29(水) 00:33:46.51 ID:bgZtQGw0<>おやすみー<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/09/29(水) 07:42:40.80 ID:jLrc2ZIo<>自転車で学校行こうと思うが装備はどうしたものか<br>私服の下にレーパンみたいなの穿いとけばいいんかな<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/09/29(水) 08:10:11.90 ID:qe5/GW.o<>&gt;&gt;23<br>私服じゃダメなん？<br>長ズボンがチェーンにハマる可能性があるけど<br>俺は通勤の時は<br>ヘアバンドみたいなものでズボンのすそ止めの奴があるんだが<br>それを使ってる<br><br>汗？<br>くさいかも知らんがＴシャツの替えを持って行って(ry<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/09/29(水) 08:35:01.48 ID:yuZKaoAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/09/29(水) 08:43:28.63 ID:jLrc2ZIo<>おはよー<br>グローブだけ着けてくかな、速度ださないからまあ大丈夫だろう<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/29(水) 12:53:05.71 ID:DS09.f2o<>みんなおはよー！<br>準備してたら返事遅れた（*´д`*）<br><br>この時期の自転車の服装だけど、下は動きやすいようにハーフパンツで、上は適当なTシャツの上にパーカーが楽かな<br>あとはメッセンジャーバッグ<br><br>邪道だけどビンディングを普通のスニーカーで乗ってます(´・ω・`)<br><br>あと、大学に行く時は汗がでない程度にゆっくりこいでるw<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/29(水) 12:55:33.40 ID:DS09.f2o<>あとは、サングラスとグローブかな！<br><br>本当はすべきなんだろうけど、ヘルメットはかさばるので通学の時は使ってません（*´д`*）<br><br>漕いでる時はTシャツで、大学着いたらパーカー着る感じで<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/29(水) 13:00:26.01 ID:DS09.f2o<>ステム10ミリ短いのにしてみたけど、結構変わるね（*´д`*）<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/09/29(水) 13:25:06.11 ID:qe5/GW.o<>あ、<br>メッセンジャーバッグで思い出したんだけど<br>お勧めあれば教えてほしい<br><br>背中が蒸れて蒸れてかなわんwwww<br>なるべく安い方がいいけど<br>メッセンジャーバッグじゃなくても<br>何かいいものないかな…<br>あと筒状の紙類入れみたいなのってなんていうのかな？<br>ああいうのも何かいいのがあれば…<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/29(水) 14:53:27.19 ID:nFPbLeAo<>蒸れないメッセンジャーバッグは多分ないww<br>メッセンジャーって身体に密着させて、走ってる最中にズレないようにするものだから、蒸れるのとズレないのとはトレードオフかなぁ<br><br>蒸れないのを優先するなら、バックパックか車載にするしかないw<br><br>ちなみに自分が使ってるのはChromeのシチズン(Mサイズ)です！<br>肩のパッドが厚く、またバックルも片手で締めたり緩めたりできるので気に入ってますw<br>ヤフオクとかなら並行物で1万前後だったと記憶してます（*´д`*）<br><br>筒状の書類入れ？はちょっとわからないですが、自分は適当なファイルに入れてますw<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/29(水) 14:54:50.41 ID:nFPbLeAo<>あ、あと筒状のって卒業証書とか入れたりする感じのやつですかね（*´д`*）？<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/09/29(水) 15:03:59.75 ID:qe5/GW.o<>&gt;&gt;32<br>それの大きいものと思ってくれておｋ<br>製図なんかを本来入れるものなんだけど<br><br><br>背中に背負うんじゃなくて<br>自転車のフレームにバンド固定もいいかな<br>と考えが変わってきた…<br><br>バックパックか…<br>やっぱり物々しいのになるかな…<br>なるべく身軽に動きたいんだけど…<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/09/29(水) 18:52:59.61 ID:N1RrebM0<>メッセンジャーバックは蒸れるから嫌、バックパックは物々しいから嫌ですか。<br>少しは我慢しなさい。<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/29(水) 19:12:59.20 ID:YhRC7KM0<>&gt;&gt;33<br>遅れてごめん(´・ω・`)<br>製図とかはちょっとわからないなぁ～すまそ<br><br>蒸れるのが嫌なら、自転車にシートポストキャリアとか着けるしかないと思うｗｗ<br><br>見た目で考えると、メッセンジャーの方がデカイから物々しいかも？ｗｗ<br>メッセンジャーってパンパンに物を入れると体にフィットしなくて安定しないんだよね(´・ω・`)<br><br>まぁそこら辺は自分との相談だから、展示してあるお店とかで実際に手にとって試すのが壱番だと思う！<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/09/29(水) 19:57:33.18 ID:l3jSr92o<>&gt;&gt;30<br>＞筒状の紙類入れみたいなのってなんていうのかな？<br>「チューブケース」ね。あれって良い悪いあるの？ｗｗｗｗｗｗ<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/29(水) 21:40:02.31 ID:YhRC7KM0<>まぁまぁ落ち着いて(*´д｀*)<br><br>というか工具が欲しくなってきた・・・<br>メンテ本はアマゾンでIYHしたぜｗｗｗｗｗｗ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/09/29(水) 23:33:29.59 ID:yuZKaoAO<>筒状････<br><br>水道管･････<br><br><br><br><br><br>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/09/30(木) 07:54:48.68 ID:SaVc.Bso<>&gt;&gt;34<br>ゴメンねえｗｗｗｗｗｗ<br>夏場だと背中が蒸れてさｗｗｗｗｗｗ<br>少しでもいいのがないかな？ｗｗｗｗｗｗ<br>と思ってさｗｗｗｗｗｗｗｗ<br><br>近所にバッグ屋さんがないってのもあるしｗｗｗｗｗｗ<br>乗りなれた人ならいいもの知ってるかと思ってさｗｗｗｗｗｗ<br>お勧めを聞こうとｗｗｗｗｗｗｗｗ<br><br>水道管ｗｗｗｗｗｗ<br>その発想はなかったｗｗｗｗｗｗｗｗｗｗ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/09/30(木) 08:39:12.66 ID:or1W5AAO<>おはよう<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/30(木) 10:42:23.83 ID:k2.tFDwo<>おはよう！<br>動画作成がなかなか進まない、、、(´・ω・`)<br><br>時間は自分で作る物だ！！<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/09/30(木) 11:22:06.26 ID:Wl4kiJk0<>がんばれたまむしｐｒｐｒ<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/09/30(木) 13:34:31.80 ID:autJhH.0<>玉虫さんが最初に買ったロードは何？<br>最初からあずにゃん？<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/09/30(木) 22:11:16.91 ID:or1W5AAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/01(金) 08:37:20.79 ID:sLbQjIAO<>おはよう<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/10/01(金) 10:23:28.69 ID:KHMYCkYo<>遅れてごめん（*´д`*）<br>挨拶の人おはよう！<br><br>&gt;&gt;43<br>初ロードはあずにゃんです！<br>クロスを買ったのですが、すぐにロードが欲しくなり、このフレームカラーに惚れて買っちゃいましたw<br>本当はフレーム単体で25万ぐらいのだったのを、型落ちということで半額で購入致しました（*´∀`*）<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/01(金) 13:22:07.20 ID:9Nd4dC2o<>ハンドメイドUSAって2010年モデルで終わっちゃうんだっけ？<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/10/01(金) 21:58:42.88 ID:qW5jHrEo<>&gt;&gt;47<br>そうですお！<br>11年からはCAAD10にモデルチェンジで、それに伴い台湾に生産拠点を移すらしいです（*´д`*）<br>まだ製品を見たことがないので、仕上げとかはよく把握してません(´・ω・`)<br><br>てかメンテナンスの本買ったら前後のディレイラーの調整にはまってしまったww<br><br>工具買ってOHしたいなぁ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/01(金) 23:34:59.05 ID:sLbQjIAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/10/02(土) 02:36:36.27 ID:K2Xst7U0<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/02(土) 08:33:24.78 ID:uCo/6oAO<>おはよう<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/10/02(土) 20:23:50.03 ID:jonIu5so<>おはよー！<br>てか今晩はですね（*´д`*）<br><br>大学が思ったより忙しくて、<br>動画途中までしかできてない(´・ω・`) <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/02(土) 20:28:51.15 ID:x8MQcGAo<>あるあるｗｗｗｗｗｗ<br>大学が始まると意外と忙しいんだよな<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/02(土) 20:37:36.94 ID:Q6S1NQso<>ところで玉虫は彼女とかいないのか？<br>ここまでそれっぽいレスなかったような・・・<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/02(土) 22:55:31.98 ID:uCo/6oAO<>僕はいません<br><br><br><br><br><br><br>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/10/03(日) 02:14:00.35 ID:aTAdG8g0<>僕もいません<br><br><br><br><br><br><br>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/03(日) 02:21:59.19 ID:p8JQSnAo<>ちなみに僕もいません・・・<br><br><br><br><br><br><br>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/03(日) 07:32:13.37 ID:48LxygAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/10/03(日) 07:45:08.90 ID:aTAdG8g0<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/03(日) 13:29:35.86 ID:p8JQSnAo<>七色～<br><br><br><br>違うか<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/04(月) 00:00:43.12 ID:7RjZzoAO<>おやすみ<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/10/04(月) 02:28:38.27 ID:EIgmxUE0<>僕もいません！<br><br>というか大問題が起きてしまいました・・・<br><br><br>今日iPhoneを紛失してしまった！！！！！！！！！１１１１<br><br>ちょっとレスとか遅れちゃうかも・・・本当に申し訳ない<br>画像とかはPCに同期されてるからたぶんどうにかなる<br><br>とりあえず明日色々してくるぜーｗｗｗｗ<br><br>みんなおやすみ！<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/10/04(月) 03:42:47.94 ID:hayVD7Uo<>なんだ君のか、あのアイフォン・・・<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/04(月) 08:42:23.64 ID:7RjZzoAO<>早く見つかるといいな･･･<br><br><br><br><br><br><br>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/04(月) 10:16:50.29 ID:QocYepUo<>なんというドジッ子だのうwww<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/10/04(月) 11:59:23.61 ID:EIgmxUE0<>おはよう！！<br><br>&gt;&gt;63<br>(´・ω・`)<br><br>&gt;&gt;64<br>ありがとう！<br>今日探して見つからなかったら、シム再発行してもらって白ロム買うしかない(´・ω・`)<br><br>&gt;&gt;65<br>使ってないドコモの携帯は2年間一度も失踪してないのに・・・<br>まだ2ヶ月目のアイフォン(´・ω・`)ｶﾜｲｿｽ<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/10/04(月) 13:30:44.40 ID:6oU/0q.o<>割れたり、紛失したり、なんか災難だなー。頑張れ！<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/04(月) 23:35:42.51 ID:7RjZzoAO<>外でなくしなのかな？<br><br><br><br><br><br><br><br>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/10/05(火) 02:01:13.84 ID:1uTMiBA0<>通学でこんな高級バイクを使うのって心配にならない？<br>学校内での自転車の盗難は少ないのかな？<br><>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/05(火) 08:33:37.19 ID:0saj/YAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/10/05(火) 17:53:22.03 ID:zJTcv6k0<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/05(火) 21:51:24.32 ID:7ytpnq2o<>スレ主も飽きたみたいだし、そろそろ解散か<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/06(水) 00:18:02.06 ID:nRXvRwAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/06(水) 00:23:37.58 ID:hC2uX8Io<>とりあえず、あらためてみんな乙とだけ書いておこう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/06(水) 08:31:12.35 ID:nRXvRwAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/06(水) 08:32:13.43 ID:nRXvRwAO<>&gt;&gt;75<br>orz<br><br><br><br><br><br><br><br><br><br><br>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/06(水) 23:51:10.02 ID:nRXvRwAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/06(水) 23:52:23.98 ID:nRXvRwAO<>&gt;&gt;77<br><br>orz<br><br><br><br><br><br><br>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/07(木) 00:04:50.22 ID:y6P8PGQo<>&gt;&gt;76-77<br>だいじょぶか？ｗｗｗｗ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/07(木) 08:21:29.55 ID:FYJPcoAO<>おはよう<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/10/07(木) 15:34:41.06 ID:w3q2keko<>みんなおはよう！<br>放置しててごめん(´・ω・`)<br><br>結局見つからなかったから、ヤフオクで白ロム買っちゃった！<br>この出費は痛い、、、、<br><br>でも画像も全部残ってるから、動画の作成とかみんなにレス返したり頑張るぜ！<br><br>もう少しお付き合いしてもらえると嬉しいです（*´д`*）<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/10/07(木) 15:37:56.16 ID:w3q2keko<>&gt;&gt;67<br>ありがとう！がんばる！！<br><br>&gt;&gt;68<br>外です(´・ω・`) 多分カバンから落ちたと思いますw<br><br>&gt;&gt;69<br>それは確かに思います(´・ω・`)<br>人目につくような場所に置いてます！<br><br>&gt;&gt;70-80<br>おはよう＆おやすみなさい（*´д`*）<br>毎日ありがとうございました（*´∀`*）<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/07(木) 17:16:49.86 ID:y6P8PGQo<>いなくなっちゃったかと思ったぜ<br><br>急がなくていいから動画最後まで頼むぜ！！<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/10/07(木) 18:07:06.16 ID:JSGmgpAo<>アイポン残念だたね(´・ω・｀)<br>そういえば、旅中ビンディングでお寺とか寄りにくいって話だったけど、<br>調べてみるとクリートが靴から出っ張ってるのと埋まってるのがあるんだな。<br>玉虫はどっちだった？<br>あと、埋まってる方じゃないと歩きにくそうだけど砂利とか詰まりやすい？<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/08(金) 00:06:31.01 ID:6wceuoAO<>玉虫のｱｲﾎﾝから性癖がバレバレのエロ画像流出だね。<br><br><br><br><br><br><br><br>おやすみ<br><>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/08(金) 08:57:12.04 ID:6wceuoAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/08(金) 23:56:44.47 ID:6wceuoAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/09(土) 08:16:11.49 ID:Ld66n6AO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/09(土) 23:49:01.54 ID:Ld66n6AO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/10(日) 10:25:12.16 ID:YmU3hwAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/10(日) 10:36:45.23 ID:.QjXf3oo<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/10(日) 23:57:32.74 ID:YmU3hwAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/11(月) 08:26:41.72 ID:VNVsR6AO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/11(月) 23:59:53.01 ID:VNVsR6AO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/12(火) 09:41:36.72 ID:Fr88vcAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/12(火) 23:29:34.10 ID:Fr88vcAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/13(水) 08:21:09.46 ID:x5y2gkAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/13(水) 23:55:47.10 ID:x5y2gkAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/14(木) 08:27:07.58 ID:9RL8ZcAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/20(水) 18:46:44.72 ID:P/eu7Jco<>挨拶の人律儀だなｗｗｗｗ<br>玉虫もちょっと見習えｗｗｗｗｗｗ<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/10/20(水) 23:09:09.95 ID:BgyV8vs0<>なんだこれｗｗ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/20(水) 23:37:39.38 ID:qFG/3EAO<>久し振り<br><br><br><br><br><br><br><br><br>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/20(水) 23:39:30.82 ID:96VxFewo<>挨拶する人おやすみなさい<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/20(水) 23:42:57.39 ID:beQjqico<>挨拶の人スレになっててワラタ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/21(木) 08:35:39.29 ID:T8n2DIAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/10/22(金) 01:28:52.69 ID:E7e4VvQ0<>ぉやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/22(金) 07:51:50.50 ID:X3lPIwAO<>忘れてた･･････orz<br><br><br><br><br><br><br><br>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/22(金) 07:52:53.00 ID:X3lPIwAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/22(金) 10:23:28.80 ID:L778l0ko<>おはようございますwwww<br>挨拶の人ドンマイなんだぜwww<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/10/22(金) 10:52:20.93 ID:.CEIh.o0<>がんばるなぁｗｗｗｗｗｗｗｗｗｗｗｗｗｗ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/22(金) 23:30:11.78 ID:X3lPIwAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/23(土) 08:32:01.78 ID:jtPqG6AO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/23(土) 23:35:58.71 ID:jtPqG6AO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/10/24(日) 12:07:32.67 ID:siIRpjE0<>ぉはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/24(日) 12:51:38.86 ID:sTRNx6AO<>今起きた<br><br><br><br><br><br><br><br>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/25(月) 00:21:41.00 ID:ZL6yPQAO<>おやすみ<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/10/25(月) 00:55:16.76 ID:5KHEU7go<>何度もごめん<br>身内の不幸で1週間ばかし実家帰ってた<br>最近ついてないなぁ、、、<br><br>&gt;&gt;84<br>ロード用のだからもろ出てるタイプだよ！<>
