1<>以下名無しにかわってVIPがお送りします <><>2010/03/05(金) 23:44:29<>過去スレ<br>１：[本ｽﾚ]京都VIPPER移jふぁっ…どこさわっ…んんっ…[inしたらば]<br>　　　ttp://jbbs.livedoor.jp/bbs/read.cgi/computer/30117/1149064575/<br>２：【本スレ？】京都VIPPER【inしたらば】<br>　　　ttp://jbbs.livedoor.jp/bbs/read.cgi/computer/30117/1166877433/<br>３：【本スレ】京都VIPPER Part2【inしたらば】<br>　　　ttp://jbbs.livedoor.jp/bbs/read.cgi/computer/30117/1200539953/<>【本スレ】京都VIPPER Part4【inしたらば】<>JlfIQ8V.0
2<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2010/03/06(土) 02:28:55<>かれいににげっとずさー<><>alPvU.CQ0
42<>以下名無しにかわってVIPがお送りします <>sage<>2010/05/25(火) 09:06:05<>オレもぬるぽ<><>NLwsoohE0
43<>以下名無しにかわってVIPがお送りします <>sage<>2010/05/25(火) 18:11:08<>鳩山「このたび皆さんにより当飛行機の新機長に選出された。鳩山です。」<br>乗客「？誰もお前を選んでないぞ。前の機長に不信任を出しただけだぞ」<br>鳩山「民意です。」<br>乗客「お前を選んだ訳じゃねーっつーの」<br>鳩山「がっんばれという叱咤、応援の声と受け取ります。」<br><br>乗客「目の焦点合ってないぞ。あたまイカレてんぢゃねーか。コイツ」<br>鳩山「機内でおくつろぎ中のお客様にお知らせがございます。<br>　　　　私は飛行機というものが何だか良く分からない。」<br>乗客「おい。こいつ頭おかしいぞ？」<br>鳩山「私は愚かな機長かもしれない。ですが愚かでいいじゃないですか」<br>乗客「誰か機長を交代させろ」<br>鳩山「一生懸命やっていきますので交代はいたしません。<br>　　　せめて前々機長よりかは長く機長を務めたい。」<br>乗客「愚かな機長に命を預けられるか！機長の座にしがみつくな」<br>鳩山「そういうつもりで言ったのではない。愚かかもしれないという<br>　　　　仮定の話をしただけで、愚かだと決定したわけではない」<br>乗客「おいおいホントに頭おかしいぞ。この機長。」<br>鳩山「ご安心下さい。機長が大馬鹿者であれば、そんな飛行機がもつわけない。」<br><br>乗客「他にまともなパイロットはいないのかー？」<br>鳩山「トラストミー。私を信じて下さい。」<br>乗客「どうするつもりなんだ？このまま飛ぶのか？引き返すのか？」<br>鳩山「腹案があります。」<br>乗客「どんな？」<br>鳩山「それは申し上げられない。<br>　　　飛行経路も含め、これからゼロベースで考えます。」<br>乗客「考えてる間に燃料無くなるぞ」<br>鳩山「燃料が無くなる前に必ず決着します。」<br>乗客「だから、どう決着させる気なんだよ！！」<br>鳩山「ここで申し上げる話ではありません。今日は大変いい天気です。」<><>MbuXHat20
44<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2010/05/26(水) 12:44:55<>(　・∀・)ｵﾁﾊ?<><>oCb0MteA0
45<>以下名無しにかわってVIPがお送りします <><>2010/05/26(水) 14:32:15<>おいオチとか言うな。日本が墜落したらどうするｗ<br><br><a href="/bbs/read.cgi/computer/30117/1267800269/42" target="_blank">&gt;&gt;42</a>ｶﾞｯ<><>ahR6WXDA0
46<>以下名無しにかわってVIPがお送りします <><>2010/05/26(水) 16:06:50<>オチよりオチチうｐ<><>G3/Ojp0Yo
47<>以下名無しにかわってVIPがお送りします <><>2010/05/26(水) 22:41:44<><a href="/bbs/read.cgi/computer/30117/1267800269/46" target="_blank">&gt;&gt;46</a><br>ｄａｒｅ　ｕｍａ<><>IuvaWKLg0
48<>以下名無しにかわってVIPがお送りします <><>2010/05/27(木) 00:40:18<>馬鹿だからつい楽な方向にいっちゃうんだな<br><br>そして国民は落ち着かないと<><>8ikReaOs0
49<>以下名無しにかわってVIPがお送りします <><>2010/06/01(火) 21:02:13<>↑にいるカチューシャはこれに出てる？どんなやつ？<br>ttp://www.nicovideo.jp/watch/sm5542218<><>VdzOV3kM0
50<>以下名無しにかわってVIPがお送りします <><>2010/06/04(金) 21:23:27<><a href="/bbs/read.cgi/computer/30117/1267800269/49" target="_blank">&gt;&gt;49</a><br>カチューシャにここまでのクオリティはないｗｗｗｗ<br>エエヤツだったけどな<br>女ができてうぇｗうぇｗｗｗｗ<><>TsaZihko0
51<>以下名無しにかわってVIPがお送りします <><>2010/06/04(金) 22:33:06<><a href="/bbs/read.cgi/computer/30117/1267800269/50" target="_blank">&gt;&gt;50</a><br>カチューシャ乙<><>slpQcGGE0
52<>以下名無しにかわってVIPがお送りします <><>2010/06/05(土) 19:21:43<>女が出来た奴はもれなくもげろ<><>t6FjjJJ6C
53<>以下名無しにかわってVIPがお送りします <><>2010/06/07(月) 20:36:08<>お前らカチューシャ大好きだな<br>死ねよ<><>MSKfM4toO
54<>以下名無しにかわってVIPがお送りします <><>2010/06/07(月) 22:54:23<>俺は嫌いだけどな<><>zEowFISE0
55<>以下名無しにかわってVIPがお送りします <>sage<>2010/06/24(木) 05:25:12<>よし！今日もとった(｀･ω･)<><>FKHsjtUcC
56<>以下名無しにかわってVIPがお送りします <><>2010/06/24(木) 10:31:17<>なにお？<><>oDCpulBE0
57<>以下名無しにかわってVIPがお送りします <>sage<>2010/06/24(木) 11:14:22<>ニートに戻ったんだろｗ<><>0ISG4c/Q0
58<>以下名無しにかわってVIPがお送りします <><>2010/06/29(火) 17:09:07<>祇園祭準備してるか？<><>SFPfEQAg0
59<>以下名無しにかわってVIPがお送りします <><>2010/06/30(水) 00:28:31<>コンこんちきやってた<><>t82nRSEg0
60<>以下名無しにかわってVIPがお送りします <><>2010/07/01(木) 15:25:47<>行者餅の予約は1日から10日やてｗ<><>Y5XOlWsc0
61<>以下名無しにかわってVIPがお送りします <><>2010/07/03(土) 01:30:07<>露店が出るのって宵宵宵山からでおｋ？<br>何日だっけ？<><>ROT40M6Q0
62<>以下名無しにかわってVIPがお送りします <><>2010/07/03(土) 02:26:12<>01 よいよいよいよいよいよいよいよいよいよいよいよいよいよいよいよい<br>02 よいよいよいよいよいよいよいよいよいよいよいよいよいよいよい<br>03 よいよいよいよいよいよいよいよいよいよいよいよいよいよい<br>04 よいよいよいよいよいよいよいよいよいよいよいよいよい<br>05 よいよいよいよいよいよいよいよいよいよいよいよい<br>06 よいよいよいよいよいよいよいよいよいよいよい<br>07 よいよいよいよいよいよいよいよいよいよい<br>08 よいよいよいよいよいよいよいよいよい<br>09 よいよいよいよいよいよいよいよい<br>10 よいよいよいよいよいよいよい<br>11 よいよいよいよいよいよい<br>12 よいよいよいよいよい<br>13 よいよいよいよい<br>14 よいよいよい<br>15 よいよい<br>16 よい<br>17<><>zhBwkJAk0
63<>以下名無しにかわってVIPがお送りします <><>2010/07/03(土) 03:32:03<><a href="/bbs/read.cgi/computer/30117/1267800269/62" target="_blank">&gt;&gt;62</a><br>一応、ありがとうと言っておく…<><>ROT40M6Q0
64<>以下名無しにかわってVIPがお送りします <><>2010/07/03(土) 05:20:32<>歩行者天国になるのは14日夕方からだと思う。<br>大きい山鉾見るには13日オヌヌメ。<br>長刀鉾にものんびり上れるｗｗｗ女人禁制だけどｗｗｗ<><>99MgntAco
65<>以下名無しにかわってVIPがお送りします <>sage<>2010/07/12(月) 02:23:17<>まだ鞄屋の騒動って続いてんのね〜<><>Fd97FviI0
66<>以下名無しにかわってVIPがお送りします <>sage<>2010/07/12(月) 09:30:36<>四男の店をちょっとのぞいてみた。<br>売り場ちっちゃくてモノはベーシックなデザインなのの色違いが並べてあっただけ。<br>ラベルの違いだけで売れるとは・・・<br>ん〜　　他になんか秘策あるのか？　このままでは・・・<><>/hoD8Shk0
67<>以下名無しにかわってVIPがお送りします <>sage<>2010/07/12(月) 10:26:04<>兄弟骨肉の争い<br><br><br>悲しい事だお<><>iPqJ92AQ0
68<>以下名無しにかわってVIPがお送りします <><>2010/07/12(月) 11:55:23<><a href="/bbs/read.cgi/computer/30117/1267800269/66" target="_blank">&gt;&gt;66</a><br>四男の強みは、<br>別会社立ち上げただけだから三男に邪魔される筋合いはない<br>というだけｗｗ<><>bgvzOR220
69<>以下名無しにかわってVIPがお送りします <><>2010/07/12(月) 12:11:45<>商売で競い合うことはいいことだと思う。<><>JTgE.UAco
70<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2010/07/18(日) 10:47:15<>まあ、京都でラーメン屋を巡るワケですよ。<br><br>一軒目<br>第一旭<br>ttp://imepita.jp/20100718/387220<><>smycarNQO
71<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2010/07/18(日) 10:55:26<>いただきます。<br>ttp://imepita.jp/20100718/392310<><>smycarNQO
72<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2010/07/18(日) 11:10:59<>心を鬼にして辛口<br><br>油っぽい醤油麺<br>麺が好きになれない<><>smycarNQO
73<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2010/07/18(日) 12:43:54<>二軒目<br>つるかめ<br>ttp://imepita.jp/20100718/457610<><>smycarNQO
74<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2010/07/18(日) 12:51:16<>いただきます<br>ttp://imepita.jp/20100718/461450<><>smycarNQO
75<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2010/07/18(日) 12:54:31<>心を鬼にして辛口<br><br>普通<><>smycarNQO
76<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2010/07/18(日) 13:33:14<>もう、お腹いっぱい・・・おっぱい・・・<><>smycarNQO
77<>以下名無しにかわってVIPがお送りします <><>2010/07/18(日) 14:34:22<>|ﾟдﾟ )<><>kSZAxEhY0
78<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2010/07/19(月) 15:53:05<>三軒目<br>一幸舎<br>ttp://imepita.jp/20100719/570620<><>Fh.xonfcO
79<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2010/07/19(月) 15:56:14<>いただきます。<br>ttp://imepita.jp/20100719/572550<><>Fh.xonfcO
80<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2010/07/19(月) 15:59:11<>心を鬼にして辛口<br><br>うまい<><>Fh.xonfcO
81<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2010/07/19(月) 16:56:37<>またね ﾉｼ<><>WZFw4/m60
82<>以下名無しにかわってVIPがお送りします <><>2010/07/21(水) 11:40:42<>最近隠密でつね・ﾟ・(つω｀)・ﾟ・<br>でもこの過疎りぐあいなら仕方ないか…<><>Z7tmX5RE0
83<>以下名無しにかわってVIPがお送りします <><>2010/07/31(土) 09:46:59<>疫神社夏越祭なう<><>gcJcryh.o
84<>以下名無しにかわってVIPがお送りします <><>2010/08/11(水) 12:34:04<>mixi繋がんねーぞおい<><>3/9pzxbUO
85<>以下名無しにかわってVIPがお送りします <><>2010/08/11(水) 18:28:24<>ミミクソ難民なう<><>Jout93B.O
86<>以下名無しにかわってVIPがお送りします <><>2010/08/11(水) 19:26:52<>なにおまえらリア中の巣窟でやってたの？<br>けっ。こっちは過疎るわけだ<><>QHCfaexk0
87<>以下名無しにかわってVIPがお送りします <>sage<>2010/08/11(水) 21:32:55<>とろくにネタも投下できない能無しが（ｒｙ<><>cP27fK8k0
88<>以下名無しにかわってVIPがお送りします <>sage<>2010/08/16(月) 12:14:05<>mixiなんぞサイトに行ったことも無いわ<br><br><br>いったらモテるの？(´･ω･)<><>m.Tx/vpcO
89<>以下名無しにかわってVIPがお送りします <><>2010/08/16(月) 22:59:45<>モテる奴はどこでもモテる<br>モテない奴はぼっちになるだけ<><>4.U6obqM0
90<>以下名無しにかわってVIPがお送りします <><>2010/08/17(火) 13:36:04<>じゃあ俺は…<br><br><br>(´；ω；｀)ﾌﾞﾜｯ<><>gl1bVFWI0
91<>以下名無しにかわってVIPがお送りします <>sage<>2010/08/17(火) 14:24:24<>頭変ｶﾜｲｿｽ<><>I8ig1Seg0
92<>アタマ<><>2010/08/17(火) 16:57:47<>俺が可哀想だ。<><>KwvXfZ2cO
93<>以下名無しにかわってVIPがお送りします <>sage<>2010/09/05(日) 11:21:18<>そして誰もいなくなった<><>oBAxqXFQO
94<>以下名無しにかわってVIPがお送りします <><>2010/09/20(月) 15:23:06<>しかし私が出現した！<><>gNcZFtTM0
95<>以下名無しにかわってVIPがお送りします <><>2010/09/21(火) 08:30:16<>レスまで15日か<br><br>なかなかの過疎だぬ<><>SOLSAnusO
96<>以下名無しにかわってVIPがお送りします <><>2010/09/21(火) 08:34:27<><a href="/bbs/read.cgi/computer/30117/1267800269/95" target="_blank">&gt;&gt;95</a><br>レスの必要性を感じなかっただけだお<><>M8Tr8sY2o
97<>以下名無しにかわってVIPがお送りします <>sage<>2010/09/22(水) 12:08:50<><a href="/bbs/read.cgi/computer/30117/1267800269/96" target="_blank">&gt;&gt;96</a><br>それはさみしいお(´;ω;)<><>fA3kGoUIO
98<>以下名無しにかわってVIPがお送りします <><>2010/10/13(水) 10:02:13<>2ch落ちてる？<><>OK7Xh9L.O
99<>西<><>2010/10/21(木) 17:14:12<>オレ来年の統一地方選挙出ることになった<br>元京都VIPPERから議員が出ることを楽しみにしててくれおｗｗｗ<><>nKDsf0Y.0
100<>以下名無しにかわってVIPがお送りします <><>2010/10/21(木) 23:36:59<>だれだお？<><>ux31y3r60
101<>以下名無しにかわってVIPがお送りします <>sage<>2010/10/22(金) 09:12:10<>VIPPER???<br>したらばーの間違いでは？<><>.auaJzoY0
102<>以下名無しにかわってVIPがお送りします <><>2010/10/22(金) 12:19:32<>京都VIPPERなんてもういないよね<><>sZHKoXd20
103<>以下名無しにかわってVIPがお送りします <><>2010/10/23(土) 00:07:30<>もう誰もいないよ。ここにいるのは君と僕と…<br>後は自動的に適当に書き込むプログラムだけだよ(´･ω･｀)<><>s82hlIucO
104<>以下名無しにかわってVIPがお送りします <><>2010/10/24(日) 22:11:13<><a href="/bbs/read.cgi/computer/30117/1267800269/103" target="_blank">&gt;&gt;103</a><br>なんかこわいよｗｗｗｗ<><>lwPqaL7I0
105<>以下名無しにかわってVIPがお送りします <><>2010/10/25(月) 00:07:20<><a href="/bbs/read.cgi/computer/30117/1267800269/104" target="_blank">&gt;&gt;104</a><br>大丈夫、こわくないよ！<><>pe0kUE.U0
106<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2010/11/18(木) 19:48:39<>ヨドバシカメラができたり<br>クリスピークリームドーナッツができたり<br>2、3年のウチに京都も変わったなぁ・・・<><>5Ch24tisO
107<>以下名無しにかわってVIPがお送りします <><>2010/11/18(木) 20:25:38<>今なら紅葉真っ盛りだぞｗｗｗ<br>ヨドバシもイオンモールもどうでもええとこやろｗｗｗ<br>生まれ変わった銀閣ﾀｿに会いに行ったか？<br><br>最近は奈良が熱いけどなｗｗｗ<><>BnwIOPDwo
108<>以下名無しにかわってVIPがお送りします <><>2010/11/18(木) 21:27:10<><a href="/bbs/read.cgi/computer/30117/1267800269/106" target="_blank">&gt;&gt;106</a><br>地下鉄四条の変わりようはおれもびっくりした。<><>Jz8uj3dc0
109<>以下名無しにかわってVIPがお送りします <><>2010/11/18(木) 22:02:05<>毎日のように地下鉄乗るけど、未だに地下鉄四条駅がどうかわったか知らない<><>Kf1eDfDg0
110<>以下名無しにかわってVIPがお送りします <><>2010/11/18(木) 23:19:13<><a href="/bbs/read.cgi/computer/30117/1267800269/109" target="_blank">&gt;&gt;109</a><br>おみせがね、いっぱいいっぱいあるのー<><>Jz8uj3dc0
111<>以下名無しにかわってVIPがお送りします <><>2010/12/26(日) 00:04:50<>もう年末ですぞ(｀･ω･´)<><>V7zPdrU6O
112<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2011/01/09(日) 18:57:01<>おけおめ<><>EFqzMsfoO
113<>以下名無しにかわってVIPがお送りします <><>2011/01/09(日) 22:08:37<>寒中お見舞い申し上げます<><>0eFsbYGYo
114<>西<><>2011/01/27(木) 06:35:37<>出馬することになった<><>CUPzeaF60
115<>以下名無しにかわってVIPがお送りします <>sage<>2011/02/01(火) 09:47:39<>落馬注意報発令<><>jWf1OVFU0
116<>以下名無しにかわってVIPがお送りします <><>2011/02/03(木) 23:04:56<><a href="/bbs/read.cgi/computer/30117/1267800269/114" target="_blank">&gt;&gt;114</a><br>よし、俺を秘書として雇え<><>.rur0pbQ0
117<>以下名無しにかわってVIPがお送りします <><>2011/02/15(火) 12:25:43<>ttp://hamusoku.com/archives/4106479.html<br>おい誰だｗｗｗｗｗｗｗ<><>wJ56UDt20
118<>頭がカチューシャ<><>2011/02/16(水) 19:02:58<>あぁ…何もかもが懐かしい…<><>4P4qEh1QO
119<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><>sage<>2011/04/07(木) 05:55:28<>やあ、みなさんお元気ですか？<br>僕は元気ではありません。<br>最近色々ありまして・・・<br>詳細を書く気力も無いので<br>mixiの日記をコピペしますです。<br><br>↓<br><br>ttp://mixi.jp/view_diary.pl?id=1699587558&owner_id=1990554<br>今日はエイプリルフールですね。 <br><br><br>前に２月１日から会社の自分が所属する事業部が廃部になると書きましたが <br>こう云うモノはいきなり無くなるのではなく <br>様々な業務の移行期間があるもので <br>僕も引継ぎ業務やらなんやらがあったのですが <br>全体として３月末を目途に完了しましょうってコトで話は進められてました。 <br>そして、色々と残った問題はまだありますが <br>昨日付けで完全に廃部となりました。 <br>とりあへず、僕のチームは関連部門の１課として再出発ですが <br>やるコトなくてこの歳で窓際族です。 <br>気が滅入ります。 <br><br><br>ああ、エイプリルフールですね。 <br><br><br>これは書かなかったと思いますが <br>年末年始にかけて、仕事で始末書モノのミスをして処分をうけました。 <br>減俸25％に加えて、３ヶ月間50％カットです。 <br>なので、今10万円以下しかお給料が入ってきません。 <br>取引先との信用問題に発展したので <br>担当からも外されました。 <br>正直クビだったんですが、上司が庇ってくれたお陰でそれは免れました。 <br>でも、｢なんでアイツまだ会社に来てるの？｣的な空気で職場では毎日歓迎されるので <br>肩身が狭いです。 <br>毎朝、家の玄関開けるのに10分以上かかります。 <br><br><br>おっと、エイプリルフールですね。 <br><br><br>まさかこんな震災が起こるとは思いもしませんでしたね。 <br>東京で一番心配なのは原発事故の影響です。 <br>まあ、健康への影響はひとまず置いておいて <br>経済への影響を考えると不安が募ります。 <br>サービス業なんて経済悪化の煽りを一番喰らいそうで <br>会社が傾いたら、即切られるのは自分なんじゃないかと <br>戦々恐々としてます。 <br><br><br>そう云えは、エイプリルフールですね。 <br><br><br>地震があった日、母が倒れたとつぶやきましたが <br>検査に次ぐ検査をした結果 <br>昨日、ホジキン悪性リンパ腫だと判ったと連絡がありました。 <br>平たく言うと、がんです。 <br>転移やステージはこれから更に検査をして調べるそうです。 <br>ただ、あんまり芳しくないみたいです・・・ <br>色々と残念な人間の母ですが、育ててくれた感謝はしています。 <br>そんな母の時間がもうあまりないかもしれないと思うと <br>身を引き裂かれる想いです。 <br>それに、今の低所得＆将来が不安定な自分に治療費の不安も圧し掛かります。 <br>とりあへず、明日明後日は大分に帰ります。 <br><br><br>もしかしなくても、エイプリルフールですね。 <br><br><br>上記の様に心労要素のフルコースなので <br>胃が悲鳴を上げてます。 <br>胃液に血液が混ざりまくりです。 <br>まあ、胃はある意味通常営業なのでイイんですが <br>焦燥感と虚無感の波状攻撃をなんとかしてほしいです。 <br>てか、もうダメだ。 <br><br><br>今日は、エイプリルフール・・・でしたね・・・<><>CVQ6/DnM0
120<>以下名無しにかわってVIPがお送りします <><>2011/04/09(土) 11:16:25<>こんなときはだなぁ・・・<br>こんなときだからこそ・・・<br><br><br><br>ぬるぽ<><>Aiy63Sf.o
121<>以下名無しにかわってVIPがお送りします <><>2011/04/10(日) 16:37:27<>ガッ<><>8iYar.iQO
122<>以下名無しにかわってVIPがお送りします <><>2011/04/10(日) 23:34:43<>どんな時でも京都には人かいるよ。また落ち着いたら京都においで(´･ω･)<><>d.ukafMA0
123<>以下名無しにかわってVIPがお送りします <><>2011/04/30(土) 12:13:08<>久々に覗いたんだが相変わらず過疎。<br>頭なんか話題よこせよ<><>RRWNAXeoO
124<>頭<><>2011/05/10(火) 19:35:40<>呼ばれて飛び出て！<br><br>&gt;114当選確認。<br>VIPPER議員とかマジ日本沈没。<><>Sl2xNcIIO
125<>以下名無しにかわってVIPがお送りします <><>2011/05/12(木) 15:20:30<><a href="/bbs/read.cgi/computer/30117/1267800269/124" target="_blank">&gt;&gt;124</a><br>それ本当か。京都だから市議会議員か<><>aC0JKPs.0
